,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
163,15498,Muntenia,TR,340521,Zimnicea,0,43.6615,25.3536,33.63,528677.9697,240206.9803,0.5,1
160,15490,Muntenia,TR,346452,Turnu Magurele,0,43.7602,24.8785,30.64,490357.6908,251113.8182,0.5,1
161,15491,Muntenia,GR,352557,Giurgiu,0,43.8752,25.9327,23.6,575129.9262,264321.5038,0,1
149,15460,Dobrogea,CL,412721,Calarasi,0,44.2057,27.3383,18.72,687048.2796,303336.5684,0.5,1
154,15475,Muntenia,CL,404638,Oltenita,0,44.0747,26.6371,14.9,631303.8691,287393.0634,0.05,1
106,15333,Dobrogea,BR,512755,Braila,0,45.2066,27.9197,14.52,729463.7274,416031.4098,0.1,1
156,15480,Dobrogea,CT,413838,Constanta,0,44.2138,28.6455,12.8,791467.3421,308113.2294,0,1
120,15360,Dobrogea,TL,509940,Sulina,0,45.1485,29.7589,12.69,874234.9522,416520.4775,0,1
164,15499,Dobrogea,CT,349835,Mangalia,0,43.8161,28.5874,6,788789.3843,263731.3536,0.6,1
107,15335,Dobrogea,TL,511849,Tulcea,0,45.1905,28.8241,4.36,800561.1365,417242.158,0.05,1
108,15336,Dobrogea,TL,511912,Gorgova,0,45.1769,29.1568,2.78,826759.0268,417033.4763,0,1
143,15428,Dobrogea,TL,441900,Gura Portitei,0,44.6898,28.9989,2,817067.5828,362316.9564,0,1
127,15387,Dobrogea,TL,454936,Sf. Gheorghe Delta,0,44.8976,29.5991,1.43,863277.2658,387937.9101,0.03,1
158,15483,Dobrogea,CT,413839,Constanta Dig,1,44.2197,28.649,0,791712.0063,308784.2269,0,0
155,15424,MUNTENIA,CL,428632,Fundulea,1,44.45285,26.52355,67,621373,329264,0.5,1
